start,end,distance,duration
0,1,17.79,32.80
0,2,17.29,34.83
0,3,9.76,22.00
0,4,13.69,23.82
0,5,14.63,29.32
0,6,13.43,26.72
0,7,8.42,17.37
0,8,7.88,17.48
0,9,16.07,29.47
0,10,17.82,35.32
0,11,1.90,6.67
0,12,15.95,37.25
1,2,35.07,55.95
1,3,25.44,44.47
1,4,29.37,46.28
1,5,30.31,51.78
1,6,29.11,49.18
1,7,24.10,39.83
1,8,22.17,41.85
1,9,31.75,51.93
1,10,33.50,57.78
1,11,19.27,36.60
1,12,33.73,58.37
2,3,14.76,26.82
2,4,14.36,25.78
2,5,8.47,20.82
2,6,12.93,22.47
2,7,17.91,28.83
2,8,9.11,18.18
2,9,8.87,25.38
2,10,2.29,6.88
2,11,18.38,31.48
2,12,3.82,14.50
3,4,8.51,18.12
3,5,9.77,22.45
3,6,8.58,19.85
3,7,4.19,12.72
3,8,8.55,22.72
3,9,10.90,23.77
3,10,12.96,28.45
3,11,9.68,22.72
3,12,12.60,33.08
4,5,4.36,9.30
4,6,3.42,7.57
4,7,12.49,18.23
4,8,10.79,21.68
4,9,3.77,10.28
4,10,10.15,20.10
4,11,12.96,20.88
4,12,13.02,27.25
5,6,4.03,9.77
5,7,10.92,19.83
5,8,7.78,18.10
5,9,5.77,20.12
5,10,6.89,14.50
5,11,11.38,22.48
5,12,9.84,24.67
6,7,12.47,19.88
6,8,10.94,22.52
6,9,4.88,14.03
6,10,10.26,23.95
6,11,12.94,22.53
6,12,13.00,28.90
7,8,6.54,16.98
7,9,13.59,24.15
7,10,15.43,30.52
7,11,7.67,16.98
7,12,15.07,35.15
8,9,13.31,29.07
8,10,12.71,25.22
8,11,7.04,18.40
8,12,8.78,22.80
9,10,7.87,19.23
9,11,15.78,28.42
9,12,10.69,31.75
10,11,17.39,33.45
10,12,5.86,20.93
11,12,14.73,36.38
